Moneyview – Google Reviews Crosstab Analysis,,,,,,,,,,,,,,,,,,
,Total,Zone,,,,Age,,,,,Education,,Income,,,,,
Value,Total,South,North,West,East,34-42,25-33,42+,21-24,Below 21,Graduate/Post Graduate,Below Graduate,Mid (?75K),Low (?25K),Upper Mid (?3L),Unknown/ No Income,High (?4.5L),Ultra HNI (>4.5L)
Base,741,229,222,148,142,249,239,93,91,69,371,370,476,163,98,2,1,1
Sentiment,,,,,,,,,,,,,,,,,,
Positive,91%,91%,92%,93%,85%,90%,92%,91%,88%,91%,91%,91%,86%,100%,100%,100%,100%,100%
Negative,9%,9%,8%,7%,15%,10%,8%,9%,12%,9%,9%,9%,14%,0%,0%,0%,0%,0%
Rating (1-5 star),,,,,,,,,,,,,,,,,,
5,89%,89%,88%,90%,92%,91%,89%,81%,92%,91%,91%,88%,90%,90%,84%,100%,100%,100%
1,9%,9%,9%,9%,8%,7%,8%,17%,8%,7%,8%,10%,8%,9%,14%,0%,0%,0%
4,1%,1%,2%,1%,0%,2%,1%,1%,0%,0%,1%,1%,1%,1%,0%,0%,0%,0%
2,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,1%,1%,0%,0%,0%
3,0%,1%,0%,0%,0%,0%,0%,1%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%
Sentiment - Positive,,,,,,,,,,,,,,,,,,
General Satisfaction,63%,19%,59%,46%,59%,107%,61%,27%,60%,46%,349%,61%,57%,33%,58%,2%,50%,100%
Fast Disbursal,16%,5%,18%,10%,14%,30%,14%,4%,18%,15%,81%,17%,32%,0%,0%,0%,0%,0%
Easy Process & UX,8%,3%,7%,4%,8%,16%,10%,2%,5%,5%,45%,8%,16%,0%,0%,0%,0%,0%
Trust & Reliability,2%,1%,3%,0%,0%,2%,2%,1%,0%,1%,6%,2%,2%,0%,1%,0%,0%,0%
Helpful for Urgent Needs,2%,0%,3%,1%,1%,3%,1%,1%,2%,1%,6%,2%,2%,1%,1%,0%,0%,0%
Sentiment - Negetive,,,,,,,,,,,,,,,,,,
General Dissatisfaction,5%,2%,5%,2%,5%,10%,6%,2%,2%,2%,22%,6%,10%,0%,0%,0%,0%,0%
Trust & Transparency,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Loan Process & Access,2%,0%,2%,1%,3%,3%,1%,1%,3%,1%,10%,2%,4%,0%,0%,0%,0%,0%
Service Quality & Conduct,0%,0%,0%,0%,2%,1%,0%,0%,0%,0%,3%,0%,1%,0%,0%,0%,0%,0%
