,Category,,,,,,,,,Top 10 Sub Category,,,,,,,,,,,,,,,,,
Chat,Payment Related,Collection Related,Customer Requests,Foreclosure,NOC,Cancellation,Product Information,Top Up,Partner Related,Payment Not Updated,Promise To Pay Denied,Promise To Pay Accepted,Eligibility Criteria - Yes,Nach Status,Call Back,Loan Statement,Bank Charges,Eligibility Criteria - No,Emi Date Change,,,,,,,,
,"69,502","58,345","28,527","25,481","15,524","10,519","10,344","5,628","4,536","35,493","33,023","14,025","10,430","9,674","9,416","9,191","9,148","8,842","8,673",,,,,,,,
Source,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,87%,94%,87%,93%,85%,49%,45%,89%,75%,91%,97%,0%,93%,77%,75%,98%,79%,0%,99%,,,,,,,,
Phone,9%,4%,7%,4%,14%,50%,38%,5%,21%,4%,1%,0%,5%,16%,14%,2%,17%,0%,1%,,,,,,,,
Portal,4%,2%,5%,3%,1%,2%,11%,5%,3%,4%,2%,0%,2%,6%,9%,1%,3%,0%,1%,,,,,,,,
Facebook,0%,0%,0%,0%,0%,0%,6%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,,,,,,,,
Outbound Email,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,
Chat,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,
App,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,
Query Type,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post disbursal,100%,100%,75%,100%,100%,0%,0%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,
Pre disbursal,0%,0%,25%,0%,0%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,
