Google_Review,Rating (1-5 star),DateTime,Sentiment,Age_Range,Zone,Education,Monthly_Income_Cleaned,Theme
Applied for a personal loan on xyz after a colleague suggested it. The experience matched the recommendation.,5,46081.46912,Positive,25-33,South,Graduate/Post Graduate,Mid (≤75K),General Satisfaction
Took a cash loan from xyz and process was easier than expected.,5,46081.44227,Positive,34-42,North,Graduate/Post Graduate,Mid (≤75K),General Satisfaction
Using xyz as a cash loan app felt reliable. Nothing confusing came up.,5,46081.43905,Positive,25-33,North,Below Graduate,Mid (≤75K),Trust & Reliability
I trust xyz as an instant loan app because experience genuine tha. No false promises.,5,46081.46394,Positive,25-33,North,Below Graduate,Mid (≤75K),Fast Disbursal
Medical expense ke liye funds chahiye the. Instant cash loan ne time pe support diya.,5,46081.63112,Positive,34-42,South,Graduate/Post Graduate,Mid (≤75K),Fast Disbursal
"Took a small cash loan from xyz for personal expenses. App ka flow simple tha, zyada time nahi laga. Paisa mil gaya without issues.",5,46081.65505,Positive,34-42,North,Graduate/Post Graduate,Mid (≤75K),Easy Process & UX
Is instant cash loan feature ka use kaafi simple aur fast raha. Form filling aur documents upload easy tha.,5,46081.51985,Positive,34-42,South,Graduate/Post Graduate,Mid (≤75K),Fast Disbursal
good,5,46081.71481,Positive,34-42,South,Below Graduate,Mid (≤75K),General Satisfaction
The performance is really impressive. No lag while switching between pages. Great experience,5,46081.69184,Positive,42+,South,Below Graduate,Mid (≤75K),Easy Process & UX
Personal need ke liye liya gaya personal loan pressure jaisa feel nahi hua.,5,46081.48782,Positive,25-33,North,Graduate/Post Graduate,Mid (≤75K),General Satisfaction
Online loan lene ke liye ye app practical laga,5,46081.61672,Positive,21-24,South,Graduate/Post Graduate,Mid (≤75K),General Satisfaction
"Salary delay ho rahi thi aur expenses aa gaye the. Personal loan ke liye xyz try kiya, kaam ho gaya.",5,46081.4361,Positive,25-33,South,Below Graduate,Mid (≤75K),General Satisfaction
"xyz online loan ka experience thoda mature laga, childish design ya gimmicks nahi.",5,46081.43992,Positive,21-24,East,Below Graduate,Mid (≤75K),Easy Process & UX
xyz instant loan app me har step logically arranged laga.,5,46081.66074,Positive,42+,West,Below Graduate,Mid (≤75K),Fast Disbursal
Personal expenses manage karne ke liye personal loan app ka use kiya. Overall experience achha raha.,5,46081.54979,Positive,25-33,West,Graduate/Post Graduate,Mid (≤75K),General Satisfaction
Overall instant cash loan ke liye xyz app reliable aur easy option laga.,5,46081.65477,Positive,34-42,East,Below Graduate,Mid (≤75K),Fast Disbursal
argent iwant 10000 inr,5,46081.55105,Positive,21-24,East,Below Graduate,Mid (≤75K),General Satisfaction
it's good,5,46081.40322,Positive,34-42,East,Graduate/Post Graduate,Mid (≤75K),General Satisfaction
"This personal loan app doesn’t feel aggressive like others. Calm process, which matters to me.",5,46081.67674,Positive,21-24,West,Graduate/Post Graduate,Mid (≤75K),General Satisfaction
Mujhe zyada paperwork pasand nahi. xyz personal loan app me basic documents se hi kaam ho gaya.,5,46081.44748,Positive,34-42,East,Graduate/Post Graduate,Mid (≤75K),General Satisfaction
good,5,46081.61263,Positive,34-42,East,Graduate/Post Graduate,Mid (≤75K),General Satisfaction
one of the best app for borrowed money,5,46081.19069,Positive,34-42,East,Graduate/Post Graduate,Mid (≤75K),Easy Process & UX
Well Organized and Fastest Transaction ��,5,46081.49561,Positive,25-33,East,Graduate/Post Graduate,Mid (≤75K),General Satisfaction
